comment,positive,neutral,negative,compound
Our Breezy X The Players merch collab is out now,0.0,1.0,0.0,0.0
The TikJet is an ALL time cart combo,0.0,1.0,0.0,0.0
I came for the golf Stayed for the cart cam of Jet Ticket and Cutsy,0.0,1.0,0.0,0.0
BDS Im very far from a pro but try swinging 75 I feel like your swinging 100 all the time IMO,0.153,0.847,0.0,0.5023
Jet looks like a bargain basement Jake Johnson,0.462,0.538,0.0,0.5106
Tap in pars are the perfect recipe to break 80 Youve got five bogeys use them wisely Great first hole Robert,0.371,0.629,0.0,0.891
Bob aim pointing a 3 foot putt on 18 to break 90 and missing is peak performance,0.0,0.864,0.136,-0.296
The audacity of cold cuts to talk like he would break 80,0.17,0.68,0.15,0.0772
Joseph PD is the saboteur heckler but you gotta keep him on the sideline for content,0.0,1.0,0.0,0.0
Ha I played this course on vacation last year I shot a hot 110 lololol,0.324,0.676,0.0,0.5859
Talk about a game of 2 halves that was unreal The massively better played back 9 really made me realise what a tough challenge this is for Bob He played really well I mean really well but still took 40 to finish the round That means if hed played the front 9 just as well it still wouldnt have been under 80 I really hope you succeed one day Bob but on most courses a 79 is what single digit handicappers are posting and with the best will in the World you arent a sub 10 handicap player Ill continue to cheer for you though and will continue to drink Fireball while watching you attempt this,0.265,0.698,0.037,0.9824
Bob needs to hit 3 iron or 3 wood off the tee Sacrafice like 40yards for a fairway Bob you got a fireplace bud Throw that driver in there,0.094,0.906,0.0,0.3612
618 why is Aaron Rogers running a camera during the off season back there,0.0,1.0,0.0,0.0
That swag surf was just as bad as Bobs golf game in this video,0.0,0.788,0.212,-0.5423
You might shoot even today Jesus man shut the fuck up Bob,0.0,0.629,0.371,-0.7096
When were you guys at Barcelo Bavaro I was there at the start of March Mightve just missed you The course was not easy though,0.0,0.827,0.173,-0.5583
Bob is the poster child of hard work pays off except in his golf game The man took bad golf to the height of YouTube with this Anyone can do anything if you put the work in Thanks bob,0.066,0.822,0.112,-0.25
Has he broken 100,0.0,0.492,0.508,-0.4767
